OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAMELSAD,ZipCode
0,55,025,001902,55025001902,1400000US55025001902,Census Tract 19.02,53704
1,55,025,000506,55025000506,1400000US55025000506,Census Tract 5.06,53719
2,55,025,011407,55025011407,1400000US55025011407,Census Tract 114.07,53718
3,55,025,001405,55025001405,1400000US55025001405,Census Tract 14.05,53711
4,55,025,010504,55025010504,1400000US55025010504,Census Tract 105.04,53558
5,55,025,012003,55025012003,1400000US55025012003,Census Tract 120.03,53527
6,55,025,011403,55025011403,1400000US55025011403,Census Tract 114.03,53718
7,55,025,011406,55025011406,1400000US55025011406,Census Tract 114.06,53718
8,55,025,010908,55025010908,1400000US55025010908,Census Tract 109.08,53562
9,55,025,000410,55025000410,1400000US55025000410,Census Tract 4.10,53719
10,55,025,011507,55025011507,1400000US55025011507,Census Tract 115.07,53590
11,55,025,010905,55025010905,1400000US55025010905,Census Tract 109.05,53562
12,55,025,011202,55025011202,1400000US55025011202,Census Tract 112.02,53597
13,55,025,011508,55025011508,1400000US55025011508,Census Tract 115.08,53590
14,55,025,010906,55025010906,1400000US55025010906,Census Tract 109.06,53562
15,55,025,010801,55025010801,1400000US55025010801,Census Tract 108.01,53593
16,55,025,000409,55025000409,1400000US55025000409,Census Tract 4.09,53719
17,55,025,010503,55025010503,1400000US55025010503,Census Tract 105.03,53558
18,55,025,013201,55025013201,1400000US55025013201,Census Tract 132.01,53529
19,55,025,000505,55025000505,1400000US55025000505,Census Tract 5.05,53711
20,55,025,013202,55025013202,1400000US55025013202,Census Tract 132.02,53532
21,55,025,011201,55025011201,1400000US55025011201,Census Tract 112.01,53597
22,55,025,011104,55025011104,1400000US55025011104,Census Tract 111.04,53562
23,55,025,010802,55025010802,1400000US55025010802,Census Tract 108.02,53593
24,55,025,010907,55025010907,1400000US55025010907,Census Tract 109.07,53593
25,55,025,011405,55025011405,1400000US55025011405,Census Tract 114.05,53718
26,55,025,011404,55025011404,1400000US55025011404,Census Tract 114.04,53718
27,55,025,001404,55025001404,1400000US55025001404,Census Tract 14.04,53711
28,55,025,011103,55025011103,1400000US55025011103,Census Tract 111.03,53562
29,55,025,001901,55025001901,1400000US55025001901,Census Tract 19.01,53703
30,55,025,001707,55025001707,1400000US55025001707,Census Tract 17.07,53703
31,55,025,001706,55025001706,1400000US55025001706,Census Tract 17.06,53703
32,55,025,000301,55025000301,1400000US55025000301,Census Tract 3.01,53705
33,55,025,000302,55025000302,1400000US55025000302,Census Tract 3.02,53705
34,55,025,000408,55025000408,1400000US55025000408,Census Tract 4.08,53705
35,55,025,000902,55025000902,1400000US55025000902,Census Tract 9.02,53726
36,55,025,001102,55025001102,1400000US55025001102,Census Tract 11.02,53706
37,55,025,001606,55025001606,1400000US55025001606,Census Tract 16.06,53703
38,55,025,001804,55025001804,1400000US55025001804,Census Tract 18.04,53703
39,55,025,013301,55025013301,1400000US55025013301,Census Tract 133.01,53532
40,55,025,000407,55025000407,1400000US55025000407,Census Tract 4.07,53711
41,55,025,000901,55025000901,1400000US55025000901,Census Tract 9.01,53711
42,55,025,001101,55025001101,1400000US55025001101,Census Tract 11.01,53715
43,55,025,001605,55025001605,1400000US55025001605,Census Tract 16.05,53703
44,55,025,001704,55025001704,1400000US55025001704,Census Tract 17.04,53703
45,55,025,010903,55025010903,1400000US55025010903,Census Tract 109.03,53593
46,55,025,001802,55025001802,1400000US55025001802,Census Tract 18.02,53703
47,55,025,000406,55025000406,1400000US55025000406,Census Tract 4.06,53719
48,55,025,013302,55025013302,1400000US55025013302,Census Tract 133.02,53532
49,55,025,001603,55025001603,1400000US55025001603,Census Tract 16.03,53703
50,55,025,012004,55025012004,1400000US55025012004,Census Tract 120.04,53527
51,55,025,001604,55025001604,1400000US55025001604,Census Tract 16.04,53703
52,55,025,012502,55025012502,1400000US55025012502,Census Tract 125.02,53575
53,55,025,000504,55025000504,1400000US55025000504,Census Tract 5.04,53719
54,55,025,000600,55025000600,1400000US55025000600,Census Tract 6,53711
55,55,025,000700,55025000700,1400000US55025000700,Census Tract 7,53711
56,55,025,000800,55025000800,1400000US55025000800,Census Tract 8,53705
57,55,025,001000,55025001000,1400000US55025001000,Census Tract 10,53711
58,55,025,002401,55025002401,1400000US55025002401,Census Tract 24.01,53704
59,55,025,002402,55025002402,1400000US55025002402,Census Tract 24.02,53704
60,55,025,002500,55025002500,1400000US55025002500,Census Tract 25,53704
61,55,025,002601,55025002601,1400000US55025002601,Census Tract 26.01,53714
62,55,025,002700,55025002700,1400000US55025002700,Census Tract 27,53714
63,55,025,010100,55025010100,1400000US55025010100,Census Tract 101,53705
64,55,025,002602,55025002602,1400000US55025002602,Census Tract 26.02,53704
65,55,025,002603,55025002603,1400000US55025002603,Census Tract 26.03,53704
66,55,025,002800,55025002800,1400000US55025002800,Census Tract 28,53716
67,55,025,002900,55025002900,1400000US55025002900,Census Tract 29,53716
68,55,025,003001,55025003001,1400000US55025003001,Census Tract 30.01,53714
69,55,025,003100,55025003100,1400000US55025003100,Census Tract 31,53718
70,55,025,003200,55025003200,1400000US55025003200,Census Tract 32,53705
71,55,025,010501,55025010501,1400000US55025010501,Census Tract 105.01,53718
72,55,025,012501,55025012501,1400000US55025012501,Census Tract 125.01,53575
73,55,025,013700,55025013700,1400000US55025013700,Census Tract 137,53593
74,55,025,001200,55025001200,1400000US55025001200,Census Tract 12,53715
75,55,025,011000,55025011000,1400000US55025011000,Census Tract 110,53562
76,55,025,001300,55025001300,1400000US55025001300,Census Tract 13,53715
77,55,025,011504,55025011504,1400000US55025011504,Census Tract 115.04,53590
78,55,025,011505,55025011505,1400000US55025011505,Census Tract 115.05,53590
79,55,025,010200,55025010200,1400000US55025010200,Census Tract 102,53704
80,55,025,010300,55025010300,1400000US55025010300,Census Tract 103,53716
81,55,025,010400,55025010400,1400000US55025010400,Census Tract 104,53716
82,55,025,010701,55025010701,1400000US55025010701,Census Tract 107.01,53711
83,55,025,000501,55025000501,1400000US55025000501,Census Tract 5.01,53711
84,55,025,011101,55025011101,1400000US55025011101,Census Tract 111.01,53562
85,55,025,011302,55025011302,1400000US55025011302,Census Tract 113.02,53597
86,55,025,011506,55025011506,1400000US55025011506,Census Tract 115.06,53590
87,55,025,002100,55025002100,1400000US55025002100,Census Tract 21,53704
88,55,025,002200,55025002200,1400000US55025002200,Census Tract 22,53704
89,55,025,000204,55025000204,1400000US55025000204,Census Tract 2.04,53717
90,55,025,011700,55025011700,1400000US55025011700,Census Tract 117,53590
91,55,025,011600,55025011600,1400000US55025011600,Census Tract 116,53590
92,55,025,012800,55025012800,1400000US55025012800,Census Tract 128,53572
93,55,025,002302,55025002302,1400000US55025002302,Census Tract 23.02,53704
94,55,025,012100,55025012100,1400000US55025012100,Census Tract 121,53534
95,55,025,000205,55025000205,1400000US55025000205,Census Tract 2.05,53717
96,55,025,012002,55025012002,1400000US55025012002,Census Tract 120.02,53527
97,55,025,010702,55025010702,1400000US55025010702,Census Tract 107.02,53575
98,55,025,001502,55025001502,1400000US55025001502,Census Tract 15.02,53713
99,55,025,011900,55025011900,1400000US55025011900,Census Tract 119,53531
100,55,025,012700,55025012700,1400000US55025012700,Census Tract 127,53572
101,55,025,012600,55025012600,1400000US55025012600,Census Tract 126,53508
102,55,025,011800,55025011800,1400000US55025011800,Census Tract 118,53559
103,55,025,001402,55025001402,1400000US55025001402,Census Tract 14.02,53713
104,55,025,000100,55025000100,1400000US55025000100,Census Tract 1,53713
105,55,025,001401,55025001401,1400000US55025001401,Census Tract 14.01,53705
106,55,025,001501,55025001501,1400000US55025001501,Census Tract 15.01,53713
107,55,025,002000,55025002000,1400000US55025002000,Census Tract 20,53713
108,55,025,012201,55025012201,1400000US55025012201,Census Tract 122.01,53589
109,55,025,012202,55025012202,1400000US55025012202,Census Tract 122.02,53704
110,55,025,011301,55025011301,1400000US55025011301,Census Tract 113.01,53589
111,55,025,012300,55025012300,1400000US55025012300,Census Tract 123,53589
112,55,025,013000,55025013000,1400000US55025013000,Census Tract 130,53597
113,55,025,013100,55025013100,1400000US55025013100,Census Tract 131,53589
114,55,025,012900,55025012900,1400000US55025012900,Census Tract 129,53528
115,55,025,010600,55025010600,1400000US55025010600,Census Tract 106,53560
116,55,025,000201,55025000201,1400000US55025000201,Census Tract 2.01,53560
117,55,025,000202,55025000202,1400000US55025000202,Census Tract 2.02,53558
118,55,025,012400,55025012400,1400000US55025012400,Census Tract 124,53705
119,55,025,003002,55025003002,1400000US55025003002,Census Tract 30.02,53705
120,55,025,000402,55025000402,1400000US55025000402,Census Tract 4.02,53575
121,55,025,002301,55025002301,1400000US55025002301,Census Tract 23.01,53714
122,55,025,000401,55025000401,1400000US55025000401,Census Tract 4.01,53711
